SENTENCE,TAG,NER
Ile wynosi średnie spalanie,średnie_spalanie,O O O O 
Podaj mi średnią wartość spalania,średnie_spalanie,O O O O O 
Podaj mi średnią wartość spalania w tym aucie,średnie_spalanie,O O O O O O O O 
A ile wynosi średnie spalanie na sto kilometrów,średnie_spalanie,O O O O O O O O 
Ile ten samochód pali,średnie_spalanie,O O O O 
Ile ten samochód pali paliwa,średnie_spalanie,O O O O O 
Średnie spalanie samochodu,średnie_spalanie,O O O 
Ile wynosi średnie spalanie samochodu,średnie_spalanie,O O O O O 
Ile wynosi średnie spalanie auta,średnie_spalanie,O O O O O 
A ile wynosi średnie spalanie samochodu,średnie_spalanie,O O O O O O 
A ile wynosi średnie spalanie auta,średnie_spalanie,O O O O O O 
Ile litrów paliwa spala,średnie_spalanie,O O O O 
Ile litrów paliwa spala samochód,średnie_spalanie,O O O O O 
Ile litrów paliwa spala auto,średnie_spalanie,O O O O O 
A ile ten samochód spala paliwa,średnie_spalanie,O O O O O O 
A ile ten samochód pali paliwa,średnie_spalanie,O O O O O O 
A ile to auto spala paliwa,średnie_spalanie,O O O O O O 
A ile to auto pali paliwa,średnie_spalanie,O O O O O O 
Spalanie paliwa w tym samochodzie,średnie_spalanie,O O O O O 
Spalanie paliwa w tym aucie,średnie_spalanie,O O O O O 
Ile samochód spala paliwa na sto kilometrów,średnie_spalanie,O O O O O O O 
Ile auto spala paliwa na sto kilometrów,średnie_spalanie,O O O O O O O 
Spalanie paliwa na sto kilometrów,średnie_spalanie,O O O O O 
Pojemność zbiornika paliwa w Toyocie yaris,zbiornik_paliwa_pojemność,O O O O O B-MODEL 
Pojemność zbiornika paliwa w Toyocie auris,zbiornik_paliwa_pojemność,O O O O O B-MODEL 
Pojemność zbiornika paliwa w Toyocie prius,zbiornik_paliwa_pojemność,O O O O O B-MODEL 
Pojemność zbiornika paliwa w Toyocie aygo,zbiornik_paliwa_pojemność,O O O O O B-MODEL 
Pojemność zbiornika paliwa w Toyocie camry,zbiornik_paliwa_pojemność,O O O O O B-MODEL 
Pojemność zbiornika paliwa w Toyocie corolla,zbiornik_paliwa_pojemność,O O O O O B-MODEL 
Pojemność zbiornika paliwa w Toyocie avensis,zbiornik_paliwa_pojemność,O O O O O B-MODEL 
Pojemność zbiornika paliwa w Toyocie ch-r,zbiornik_paliwa_pojemność,O O O O O B-MODEL 
Pojemność zbiornika paliwa w Toyocie highlander,zbiornik_paliwa_pojemność,O O O O O B-MODEL 
Pojemność zbiornika paliwa w Toyocie sequoia,zbiornik_paliwa_pojemność,O O O O O B-MODEL 
Pojemność zbiornika z paliwem w Toyocie yaris,zbiornik_paliwa_pojemność,O O O O O O B-MODEL 
Pojemność zbiornika z paliwem w Toyocie auris,zbiornik_paliwa_pojemność,O O O O O O B-MODEL 
Pojemność zbiornika z paliwem w Toyocie prius,zbiornik_paliwa_pojemność,O O O O O O B-MODEL 
Pojemność zbiornika z paliwem w Toyocie aygo,zbiornik_paliwa_pojemność,O O O O O O B-MODEL 
Pojemność zbiornika z paliwem w Toyocie camry,zbiornik_paliwa_pojemność,O O O O O O B-MODEL 
Pojemność zbiornika z paliwem w Toyocie corolla,zbiornik_paliwa_pojemność,O O O O O O B-MODEL 
Pojemność zbiornika z paliwem w Toyocie avensis,zbiornik_paliwa_pojemność,O O O O O O B-MODEL 
Pojemność zbiornika z paliwem w Toyocie ch-r,zbiornik_paliwa_pojemność,O O O O O O B-MODEL 
Pojemność zbiornika z paliwem w Toyocie highlander,zbiornik_paliwa_pojemność,O O O O O O B-MODEL 
Pojemność zbiornika z paliwem w Toyocie sequoia,zbiornik_paliwa_pojemność,O O O O O O B-MODEL 
Jaka jest pojemność paliwa w zbiorniku w Toyocie yaris,zbiornik_paliwa_pojemność,O O O O O O O O B-MODEL 
Jaka jest pojemność paliwa w zbiorniku w Toyocie auris,zbiornik_paliwa_pojemność,O O O O O O O O B-MODEL 
Jaka jest pojemność paliwa w zbiorniku w Toyocie prius,zbiornik_paliwa_pojemność,O O O O O O O O B-MODEL 
Jaka jest pojemność paliwa w zbiorniku w Toyocie aygo,zbiornik_paliwa_pojemność,O O O O O O O O B-MODEL 
Jaka jest pojemność paliwa w zbiorniku w Toyocie camry,zbiornik_paliwa_pojemność,O O O O O O O O B-MODEL 
Jaka jest pojemność paliwa w zbiorniku w Toyocie corolla,zbiornik_paliwa_pojemność,O O O O O O O O B-MODEL 
Jaka jest pojemność paliwa w zbiorniku w Toyocie avensis,zbiornik_paliwa_pojemność,O O O O O O O O B-MODEL 
Jaka jest pojemność paliwa w zbiorniku w Toyocie ch-r,zbiornik_paliwa_pojemność,O O O O O O O O B-MODEL 
Jaka jest pojemność paliwa w zbiorniku w Toyocie highlander,zbiornik_paliwa_pojemność,O O O O O O O O B-MODEL 
Jaka jest pojemność paliwa w zbiorniku w Toyocie sequoia,zbiornik_paliwa_pojemność,O O O O O O O O B-MODEL 
Toyota yaris pojemność zbiornika paliwa,zbiornik_paliwa_pojemność,O B-MODEL O O O 
Toyota auris pojemność zbiornika paliwa,zbiornik_paliwa_pojemność,O B-MODEL O O O 
Toyota prius pojemność zbiornika paliwa,zbiornik_paliwa_pojemność,O B-MODEL O O O 
Toyota aygo pojemność zbiornika paliwa,zbiornik_paliwa_pojemność,O B-MODEL O O O 
Toyota camry pojemność zbiornika paliwa,zbiornik_paliwa_pojemność,O B-MODEL O O O 
Toyota corolla pojemność zbiornika paliwa,zbiornik_paliwa_pojemność,O B-MODEL O O O 
Toyota avensis pojemność zbiornika paliwa,zbiornik_paliwa_pojemność,O B-MODEL O O O 
Toyota ch-r pojemność zbiornika paliwa,zbiornik_paliwa_pojemność,O B-MODEL O O O 
Toyota highlander pojemność zbiornika paliwa,zbiornik_paliwa_pojemność,O B-MODEL O O O 
Toyota sequoia pojemność zbiornika paliwa,zbiornik_paliwa_pojemność,O B-MODEL O O O 
Ile paliwa mieści się w Toyocie yaris,zbiornik_paliwa_pojemność,O O O O O O B-MODEL 
Ile paliwa mieści się w Toyocie auris,zbiornik_paliwa_pojemność,O O O O O O B-MODEL 
Ile paliwa mieści się w Toyocie prius,zbiornik_paliwa_pojemność,O O O O O O B-MODEL 
Ile paliwa mieści się w Toyocie aygo,zbiornik_paliwa_pojemność,O O O O O O B-MODEL 
Ile paliwa mieści się w Toyocie camry,zbiornik_paliwa_pojemność,O O O O O O B-MODEL 
Ile paliwa mieści się w Toyocie corolla,zbiornik_paliwa_pojemność,O O O O O O B-MODEL 
Ile paliwa mieści się w Toyocie avensis,zbiornik_paliwa_pojemność,O O O O O O B-MODEL 
Ile paliwa mieści się w Toyocie ch-r,zbiornik_paliwa_pojemność,O O O O O O B-MODEL 
Ile paliwa mieści się w Toyocie highlander,zbiornik_paliwa_pojemność,O O O O O O B-MODEL 
Ile paliwa mieści się w Toyocie sequoia,zbiornik_paliwa_pojemność,O O O O O O B-MODEL 
Jaka jest maksymalna ilość paliwa jaka się zmieści w  Toyocie yaris,zbiornik_paliwa_pojemność,O O O O O O O O O O B-MODEL 
Jaka jest maksymalna ilość paliwa jaka się zmieści w  Toyocie auris,zbiornik_paliwa_pojemność,O O O O O O O O O O B-MODEL 
Jaka jest maksymalna ilość paliwa jaka się zmieści w  Toyocie prius,zbiornik_paliwa_pojemność,O O O O O O O O O O B-MODEL 
Jaka jest maksymalna ilość paliwa jaka się zmieści w  Toyocie aygo,zbiornik_paliwa_pojemność,O O O O O O O O O O B-MODEL 
Jaka jest maksymalna ilość paliwa jaka się zmieści w  Toyocie camry,zbiornik_paliwa_pojemność,O O O O O O O O O O B-MODEL 
Jaka jest maksymalna ilość paliwa jaka się zmieści w  Toyocie corolla,zbiornik_paliwa_pojemność,O O O O O O O O O O B-MODEL 
Jaka jest maksymalna ilość paliwa jaka się zmieści w  Toyocie avensis,zbiornik_paliwa_pojemność,O O O O O O O O O O B-MODEL 
Jaka jest maksymalna ilość paliwa jaka się zmieści w  Toyocie ch-r,zbiornik_paliwa_pojemność,O O O O O O O O O O B-MODEL 
Jaka jest maksymalna ilość paliwa jaka się zmieści w  Toyocie highlander,zbiornik_paliwa_pojemność,O O O O O O O O O O B-MODEL 
Jaka jest maksymalna ilość paliwa jaka się zmieści w  Toyocie sequoia,zbiornik_paliwa_pojemność,O O O O O O O O O O B-MODEL 
Ile wynosi maksymalna ilość paliwa jaka się zmieści w  Toyocie yaris,zbiornik_paliwa_pojemność,O O O O O O O O O O B-MODEL 
Ile wynosi maksymalna ilość paliwa jaka się zmieści w  Toyocie auris,zbiornik_paliwa_pojemność,O O O O O O O O O O B-MODEL 
Ile wynosi maksymalna ilość paliwa jaka się zmieści w  Toyocie prius,zbiornik_paliwa_pojemność,O O O O O O O O O O B-MODEL 
Ile wynosi maksymalna ilość paliwa jaka się zmieści w  Toyocie aygo,zbiornik_paliwa_pojemność,O O O O O O O O O O B-MODEL 
Ile wynosi maksymalna ilość paliwa jaka się zmieści w  Toyocie camry,zbiornik_paliwa_pojemność,O O O O O O O O O O B-MODEL 
Ile wynosi maksymalna ilość paliwa jaka się zmieści w  Toyocie corolla,zbiornik_paliwa_pojemność,O O O O O O O O O O B-MODEL 
Ile wynosi maksymalna ilość paliwa jaka się zmieści w  Toyocie avensis,zbiornik_paliwa_pojemność,O O O O O O O O O O B-MODEL 
Ile wynosi maksymalna ilość paliwa jaka się zmieści w  Toyocie ch-r,zbiornik_paliwa_pojemność,O O O O O O O O O O B-MODEL 
Ile wynosi maksymalna ilość paliwa jaka się zmieści w  Toyocie highlander,zbiornik_paliwa_pojemność,O O O O O O O O O O B-MODEL 
Ile wynosi maksymalna ilość paliwa jaka się zmieści w  Toyocie sequoia,zbiornik_paliwa_pojemność,O O O O O O O O O O B-MODEL 
Pojemność zbiornika,zbiornik_paliwa_pojemność,O O 
Pojemność zbiornika paliwa,zbiornik_paliwa_pojemność,O O O 
Pojemność zbiornika z paliwem,zbiornik_paliwa_pojemność,O O O O 
Pojemność paliwa w zbiorniku,zbiornik_paliwa_pojemność,O O O O 
Jaka jest pojemność paliwa w zbiorniku,zbiornik_paliwa_pojemność,O O O O O O 
Ile wynosi pojemność paliwa z zbiorniku,zbiornik_paliwa_pojemność,O O O O O O 
Ile paliwa wchodzi do baku,zbiornik_paliwa_pojemność,O O O O O 
Ile paliwa mieści sie w baku,zbiornik_paliwa_pojemność,O O O O O O 
Ile paliwa mieści się w zbiorniku,zbiornik_paliwa_pojemność,O O O O O O 
Ile paliwa mieści się w zbiorniku z paliwem,zbiornik_paliwa_pojemność,O O O O O O O O 
Jaka jest pojemność zbiornika z paliwem,zbiornik_paliwa_pojemność,O O O O O O 
A jaka jest maksymalna ilość paliwa jaka się mieści w zbiorniku,zbiornik_paliwa_pojemność,O O O O O O O O O O O 
A jaka jest maksymalna ilość paliwa jaka wchodzi do zbiornika,zbiornik_paliwa_pojemność,O O O O O O O O O O 
Ile paliwa mogę wlać do zbiornika,zbiornik_paliwa_pojemność,O O O O O O 
Ile paliwa można wlać do zbiornika,zbiornik_paliwa_pojemność,O O O O O O 
Ile można zmieścić paliwa w zbiorniku tego auta,zbiornik_paliwa_pojemność,O O O O O O O O 
Ile można zmieścić paliwa w zbiorniku tego samochodu,zbiornik_paliwa_pojemność,O O O O O O O O 
Ile paliwa wchodzi do zbiornika,zbiornik_paliwa_pojemność,O O O O O 
Ile paliwa wchodzi do zbiornika z paliwem,zbiornik_paliwa_pojemność,O O O O O O O 
Ile paliwa mogę wlać do baku,zbiornik_paliwa_pojemność,O O O O O O 
Ile paliwa mogę zmieścić w baku,zbiornik_paliwa_pojemność,O O O O O O 
Toyota yaris rodzaj zawieszenia,zawieszenie,O B-MODEL O O 
Toyota auris rodzaj zawieszenia,zawieszenie,O B-MODEL O O 
Toyota prius rodzaj zawieszenia,zawieszenie,O B-MODEL O O 
Toyota aygo rodzaj zawieszenia,zawieszenie,O B-MODEL O O 
Toyota camry rodzaj zawieszenia,zawieszenie,O B-MODEL O O 
Toyota corolla rodzaj zawieszenia,zawieszenie,O B-MODEL O O 
Toyota avensis rodzaj zawieszenia,zawieszenie,O B-MODEL O O 
Toyota ch-r rodzaj zawieszenia,zawieszenie,O B-MODEL O O 
Toyota highlander rodzaj zawieszenia,zawieszenie,O B-MODEL O O 
Toyota sequoia rodzaj zawieszenia,zawieszenie,O B-MODEL O O 
Toyota yaris rodzaje zawieszenia,zawieszenie,O B-MODEL O O 
Toyota auris rodzaje zawieszenia,zawieszenie,O B-MODEL O O 
Toyota prius rodzaje zawieszenia,zawieszenie,O B-MODEL O O 
Toyota aygo rodzaje zawieszenia,zawieszenie,O B-MODEL O O 
Toyota camry rodzaje zawieszenia,zawieszenie,O B-MODEL O O 
Toyota corolla rodzaje zawieszenia,zawieszenie,O B-MODEL O O 
Toyota avensis rodzaje zawieszenia,zawieszenie,O B-MODEL O O 
Toyota ch-r rodzaje zawieszenia,zawieszenie,O B-MODEL O O 
Toyota highlander rodzaje zawieszenia,zawieszenie,O B-MODEL O O 
Toyota sequoia rodzaje zawieszenia,zawieszenie,O B-MODEL O O 
Jakie rodzaje zawieszenia posiada Toyota yaris,zawieszenie,O O O O O B-MODEL 
Jakie rodzaje zawieszenia posiada Toyota auris,zawieszenie,O O O O O B-MODEL 
Jakie rodzaje zawieszenia posiada Toyota prius,zawieszenie,O O O O O B-MODEL 
Jakie rodzaje zawieszenia posiada Toyota aygo,zawieszenie,O O O O O B-MODEL 
Jakie rodzaje zawieszenia posiada Toyota camry,zawieszenie,O O O O O B-MODEL 
Jakie rodzaje zawieszenia posiada Toyota corolla,zawieszenie,O O O O O B-MODEL 
Jakie rodzaje zawieszenia posiada Toyota avensis,zawieszenie,O O O O O B-MODEL 
Jakie rodzaje zawieszenia posiada Toyota ch-r,zawieszenie,O O O O O B-MODEL 
Jakie rodzaje zawieszenia posiada Toyota highlander,zawieszenie,O O O O O B-MODEL 
Jakie rodzaje zawieszenia posiada Toyota sequoia,zawieszenie,O O O O O B-MODEL 
Rodzaj zawieszenia w Toyocie yaris,zawieszenie,O O O O B-MODEL 
Rodzaj zawieszenia w Toyocie auris,zawieszenie,O O O O B-MODEL 
Rodzaj zawieszenia w Toyocie prius,zawieszenie,O O O O B-MODEL 
Rodzaj zawieszenia w Toyocie aygo,zawieszenie,O O O O B-MODEL 
Rodzaj zawieszenia w Toyocie camry,zawieszenie,O O O O B-MODEL 
Rodzaj zawieszenia w Toyocie corolla,zawieszenie,O O O O B-MODEL 
Rodzaj zawieszenia w Toyocie avensis,zawieszenie,O O O O B-MODEL 
Rodzaj zawieszenia w Toyocie ch-r,zawieszenie,O O O O B-MODEL 
Rodzaj zawieszenia w Toyocie highlander,zawieszenie,O O O O B-MODEL 
Rodzaj zawieszenia w Toyocie sequoia,zawieszenie,O O O O B-MODEL 
Który rodzaj zawieszenia znajduje się w Toyocie yaris,zawieszenie,O O O O O O O B-MODEL 
Który rodzaj zawieszenia znajduje się w Toyocie auris,zawieszenie,O O O O O O O B-MODEL 
Który rodzaj zawieszenia znajduje się w Toyocie prius,zawieszenie,O O O O O O O B-MODEL 
Który rodzaj zawieszenia znajduje się w Toyocie aygo,zawieszenie,O O O O O O O B-MODEL 
Który rodzaj zawieszenia znajduje się w Toyocie camry,zawieszenie,O O O O O O O B-MODEL 
Który rodzaj zawieszenia znajduje się w Toyocie corolla,zawieszenie,O O O O O O O B-MODEL 
Który rodzaj zawieszenia znajduje się w Toyocie avensis,zawieszenie,O O O O O O O B-MODEL 
Który rodzaj zawieszenia znajduje się w Toyocie ch-r,zawieszenie,O O O O O O O B-MODEL 
Który rodzaj zawieszenia znajduje się w Toyocie highlander,zawieszenie,O O O O O O O B-MODEL 
Który rodzaj zawieszenia znajduje się w Toyocie sequoia,zawieszenie,O O O O O O O B-MODEL 
Rodzaj zawieszenia,zawieszenie,O O 
Rodzaje zawieszenia,zawieszenie,O O 
Jakie zawieszenie posiada,zawieszenie,O O O 
Jakie zawieszenie posiada samochód,zawieszenie,O O O O 
Rodzaj zawieszenia w samochodzie,zawieszenie,O O O O 
Rodzaj zawieszenia w tym samochodzie,zawieszenie,O O O O O 
Rodzaj zawieszenia w tym aucie,zawieszenie,O O O O O 
Jaki jest rodzaj zawieszenia,zawieszenie,O O O O 
Jaki jest rodzaj zawieszenia w tym samochodzie,zawieszenie,O O O O O O O 
Jaki rodzaj zawieszenia posiada samochód,zawieszenie,O O O O O 
Który rodzaj zawieszenia posiada samochód,zawieszenie,O O O O O 
Który rodzaj zawieszenia posiada auto,zawieszenie,O O O O O 
Który rodzaj zawieszenia posiada to auto,zawieszenie,O O O O O O 
Który rodzaj zawieszenia znajduje się w tym samochodzie,zawieszenie,O O O O O O O O 
Jaki rodzaj zawieszenia znajduje sie w tym aucie,zawieszenie,O O O O O O O O 
Jakie zawieszenie posiada to auto,zawieszenie,O O O O O 
Wymiary samochodu,wymiary_samochodu,O O 
Podaj mi wymiary samochodu,wymiary_samochodu,O O O O 
Jakie są wymiary samochodu,wymiary_samochodu,O O O O 
Wymiary auta,wymiary_samochodu,O O 
Jakie są wymiary tego auta,wymiary_samochodu,O O O O O 
Jakie są wymiary tego samochodu,wymiary_samochodu,O O O O O 
Podaj mi wymiary auta,wymiary_samochodu,O O O O 
Wymiary zewnętrzne samochodu,wymiary_samochodu,O O O 
Jakie są wymiary zewnętrzne samochodu,wymiary_samochodu,O O O O O 
Jakie sa wymiary zewnętrzne auta,wymiary_samochodu,O O O O O 
Jak duży jest samochód,wymiary_samochodu,O O O O 
Jak wielki jest samochod,wymiary_samochodu,O O O O 
A jak wielkie jest to auto,wymiary_samochodu,O O O O O O 
Jak duży jest ten samochód,wymiary_samochodu,O O O O O 
Jak duże jest to auto,wymiary_samochodu,O O O O O 
Jak duży jest samochód,wymiary_samochodu,O O O O 
Jak duże jest auto,wymiary_samochodu,O O O O 
Chciałbym wiedzieć jakie są wymiary tego samochodu,wymiary_samochodu,O O O O O O O 
Chciałbym wiedzieć jakie są jego wymiary,wymiary_samochodu,O O O O O O 
Chciałbym znać wymiary auta,wymiary_samochodu,O O O O 
Chciałbym znać wymiary samochodu,wymiary_samochodu,O O O O 
Jak długi jest samochód,wymiary_samochodu,O O O O 
a JAK długi jest samochód,wymiary_samochodu,O O O O O 
A jak szeroki jest samochód,wymiary_samochodu,O O O O O 
A jak wysoki jest samochód,wymiary_samochodu,O O O O O 
Ile wynosi długość samochodu,wymiary_samochodu,O O O O 
Ile wynosi jego długość,wymiary_samochodu,O O O O 
Ile wynosi szerokość samochodu,wymiary_samochodu,O O O O 
Ile wynosi szerokość auta,wymiary_samochodu,O O O O 
Ile wynosi wysokość auta,wymiary_samochodu,O O O O 
A ile wynosi wysokość samochodu,wymiary_samochodu,O O O O O 
A ile wynosi wysokość auta,wymiary_samochodu,O O O O O 
Wyświetl mi wymiary,wymiary_samochodu,O O O 
Wyświetl mi wymiary zewnętrzne,wymiary_samochodu,O O O O 
Wyświetl mi wymiary zewnętrzne samochodu,wymiary_samochodu,O O O O O 
Wyświetl mi wymiary zewnętrzne auta,wymiary_samochodu,O O O O O 
Wymiary Toyoty yaris,wymiary_samochodu,O O B-MODEL 
Wymiary Toyoty auris,wymiary_samochodu,O O B-MODEL 
Wymiary Toyoty prius,wymiary_samochodu,O O B-MODEL 
Wymiary Toyoty aygo,wymiary_samochodu,O O B-MODEL 
Wymiary Toyoty camry,wymiary_samochodu,O O B-MODEL 
Wymiary Toyoty corolla,wymiary_samochodu,O O B-MODEL 
Wymiary Toyoty avensis,wymiary_samochodu,O O B-MODEL 
Wymiary Toyoty ch-r,wymiary_samochodu,O O B-MODEL 
Wymiary Toyoty highlander,wymiary_samochodu,O O B-MODEL 
Wymiary Toyoty sequoia,wymiary_samochodu,O O B-MODEL 
Podaj mi wymiary Toyoty yaris,wymiary_samochodu,O O O O B-MODEL 
Podaj mi wymiary Toyoty auris,wymiary_samochodu,O O O O B-MODEL 
Podaj mi wymiary Toyoty prius,wymiary_samochodu,O O O O B-MODEL 
Podaj mi wymiary Toyoty aygo,wymiary_samochodu,O O O O B-MODEL 
Podaj mi wymiary Toyoty camry,wymiary_samochodu,O O O O B-MODEL 
Podaj mi wymiary Toyoty corolla,wymiary_samochodu,O O O O B-MODEL 
Podaj mi wymiary Toyoty avensis,wymiary_samochodu,O O O O B-MODEL 
Podaj mi wymiary Toyoty ch-r,wymiary_samochodu,O O O O B-MODEL 
Podaj mi wymiary Toyoty highlander,wymiary_samochodu,O O O O B-MODEL 
Podaj mi wymiary Toyoty sequoia,wymiary_samochodu,O O O O B-MODEL 
Jakie są wymiary Toyoty yaris,wymiary_samochodu,O O O O B-MODEL 
Jakie są wymiary Toyoty auris,wymiary_samochodu,O O O O B-MODEL 
Jakie są wymiary Toyoty prius,wymiary_samochodu,O O O O B-MODEL 
Jakie są wymiary Toyoty aygo,wymiary_samochodu,O O O O B-MODEL 
Jakie są wymiary Toyoty camry,wymiary_samochodu,O O O O B-MODEL 
Jakie są wymiary Toyoty corolla,wymiary_samochodu,O O O O B-MODEL 
